NET SW,NET LW,EH,EE,melt [cm ice eq. day],hourly albedo,TEMP,RH,Pressure Air,Pressure Surface,Wind Speed,Ts
232.3,-12.954,16.89,0.37688,6.6748,0.40175,5.178,62.48,551.71,544.86,1.238,-1.5732
289.9,-10.287,15.725,-1.425,8.2912,0.39792,6.16,56.55,534.52,564.43,1.073,-1.0922
308.3,-7.8107,13.433,-1.652,8.8091,0.39585,6.765,54.72,539.22,580.98,0.891,-0.69677
252.2,-1.3335,24.571,0.1981,7.7756,0.40701,6.461,58.51,564.64,561.85,1.597,-1.1548
179.81,1.4764,24.018,1.1025,5.8225,0.4125,6.3175,59.795,571.36,555.43,1.5585,-1.3115
107.41,4.2864,23.464,1.9453,3.8677,0.425,6.174,61.08,577.89,549.07,1.52,-1.4684
97.76,5.3341,22.452,2.0159,3.5985,0.42528,6.342,60.46,578.69,546.54,1.412,-1.5312
49.63,6.0009,23.366,4.0217,2.3419,0.42691,5.744,64.76,594.76,535.68,1.533,-1.8041
32.54,5.7152,17.211,4.5754,1.6937,0.43201,5.356,69.09,617.68,529.07,1.163,-1.9724
43.37,5.4294,17.615,5.9321,2.0409,0.42685,5.059,72.6,635.79,527.43,1.233,-2.0146
43.37,5.4294,17.615,5.9321,2.0409,0.42685,5.059,72.6,635.79,527.43,1.233,-2.0146
0,-52.198,17.179,8.1974,-0.75664,NaN,4.584,77.8,659.11,500.09,1.161,-2.7338
0,-52.198,17.179,8.1974,-0.75664,NaN,4.584,77.8,659.11,500.09,1.161,-2.7338
0,-60.581,20.713,9.6575,-0.85221,NaN,4.306,77.2,641.43,480.67,1.353,-3.2664
0,-61.057,25.174,11.461,-0.68896,NaN,3.946,76.86,622.67,462.55,1.612,-3.7806
0,-61.247,29.651,10.899,-0.58386,NaN,3.803,72.69,583,450.02,1.846,-4.1466
0,-61.533,28.802,8.3842,-0.68683,NaN,3.982,67.59,548.96,435.61,1.666,-4.5792
0,-61.438,37.431,3.0794,-0.59035,NaN,3.798,56.46,452.67,419.47,2.089,-5.0792
0,-61.343,34.15,2.6032,-0.69365,NaN,4.301,53.17,441.62,407.82,1.735,-5.4506
