NET SW,NET LW,EH,EE,melt [cm ice eq. day],hourly albedo,TEMP,RH,Pressure Air,Pressure Surface,Wind Speed,Ts
0,18.329,93.861,72.913,5.2217,NaN,7.964,96.3,1030,563.63,3.521,-1.1114
0,16.831,122.53,103.24,6.8438,0.76849,7.161,101.6,1028.8,552.56,4.883,-1.382
0.678,18.593,39.177,34.61,2.6252,0.15985,7.273,103.9,1060.1,548.65,1.524,-1.4788
57.74,16.566,82.524,66.993,6.314,0.15683,7.478,99.1,1025.4,560.45,3.245,-1.1886
60.85,4.0535,115.76,93.031,7.7209,0.17659,7.793,98,1036.1,563.63,4.435,-1.1114
119.61,-3.9654,103.7,84.179,8.5623,0.16995,8.145,97.5,1055.8,575.68,3.949,-0.82238
402.5,-2.2911,155.69,121.17,19.1,0.22685,9.08,93.4,1077.5,607.03,5.801,-0.094272
637.9,-5.2871,146.19,109.95,25.071,0.18822,10.54,88.8,1129.8,647.53,5.135,0.7983
776.3,-22.47,213.98,131.48,31.011,0.17678,12.11,78.66,1110.5,685.37,6.966,1.5886
276.51,20.267,170.28,98.668,15.959,0.15259,12.4,76.16,1095.9,678.95,5.33,1.4574
152.65,26.7,173.57,106.82,12.969,0.17397,13.12,76.32,1151.2,680.78,5.114,1.4949
270.41,26.964,135.45,108.42,15.268,0.17331,11.52,89.1,1209.8,665.35,4.485,1.1755
489.9,18.329,174.85,147.51,23.431,0.148,11.71,90.8,1248.5,673.49,5.778,1.3447
819.1,21.413,124.4,90.659,29.777,0.1405,11.76,85,1172.6,675.31,4.106,1.3823
368.6,20.179,158.37,124.62,18.95,0.14656,12.07,87.2,1227.8,683.53,5.157,1.5511
200.96,17.183,177.7,157.12,15.599,0.15705,11.58,93.1,1269.1,670.77,5.914,1.2883
75.91,4.5822,245.14,220.56,15.408,0.16399,11.1,95.4,1259.8,639.63,8.01,0.62805
23.958,10.046,75.383,65.36,4.9295,0.12016,11.24,93.6,1247.6,632.66,2.394,0.47646
2.426,20.444,237.35,206.48,13.165,NaN,11.03,94.2,1238.2,632.66,7.68,0.47646
1.812,13.658,126.53,87.12,6.4635,NaN,10.58,85.6,1092,622.31,4.178,0.2486
1.161,4.3178,41.372,30.174,2.1728,NaN,9.64,90,1078.1,589.55,1.391,-0.49592
3.084,24.321,14.423,8.0098,1.4059,NaN,5.105,89.8,788.94,526.34,0.687,-2.0425
0.875,16.214,41.413,32.477,2.5665,NaN,4.853,102.9,888.29,514.33,1.956,-2.355
0.615,-2.3792,9.6206,6.4958,0.40487,NaN,4.005,98.6,802.12,496.68,0.479,-2.8259
0,-20.972,0.96791,0.74432,-0.54332,NaN,5.127,100.9,887.81,538.56,0.048,-1.7311
0.37,-12.072,35.507,27.108,1.4362,0.51058,8.6,94.9,1059.8,542.43,1.18,-1.634
1.908,13.13,29.112,16.161,1.7014,NaN,7.026,85.8,860.77,537.79,1.127,-1.7505
17.754,18.064,11.968,7.8271,1.5689,0.10559,6.816,92,909.77,535.49,0.471,-1.8088
86.18,1.6743,44.748,42.933,4.9518,0.1761,8.2,106.8,1160.8,555.71,1.598,-1.3046
113.58,-12.16,52.067,32.733,5.2532,0.16053,6.111,92,866.66,524.07,2.152,-2.101
254.79,8.0188,1.0409,0.53016,7.4581,0.15352,6.251,85.3,811.34,557.29,0.047,-1.2659
440.1,3.4366,70.118,33.034,15.422,0.17938,6.395,83.5,802.14,578.92,3.333,-0.74546
409,1.8505,86.417,35.843,15.039,0.17557,10.56,71.61,912.28,637.88,2.942,0.59018
0,2.7317,85.237,25.846,3.2107,NaN,12.87,62.06,920.95,700.2,2.637,1.8879
282.76,5.1109,134.45,43.044,13.128,0.16884,13.14,61.47,928.44,681.7,3.929,1.5136
0,-24.497,236.42,73.918,8.0634,NaN,13.69,61.12,956.86,720.98,7.058,2.2978
0,-30.489,66.937,9.6016,1.299,NaN,14.08,52.31,839.94,729.61,1.96,2.465
244.21,-13.394,102.76,27.798,10.194,0.14761,13.34,59.4,908.97,705.82,3.082,1.9999
205.78,-20.444,246.61,99.094,14.981,0.15698,12.71,66.52,976.84,676.22,7.424,1.401
121.62,-20.179,249.43,121.08,13.314,0.17153,11.54,72.59,986.94,629.2,7.623,0.40057
34.427,-34.807,224.63,66.877,8.2126,0.19128,11.36,62.36,837.81,616.34,6.801,0.11541
18.691,3.0842,142.88,85.696,7.0623,0.19226,9.37,83.4,981.08,590.38,4.94,-0.47676
0,15.597,96.38,58.058,4.7966,NaN,8.33,85.8,940.83,576.49,3.589,-0.80314
0,10.927,85.979,55.001,4.2852,NaN,7.795,89,941.06,559.66,3.248,-1.2079
0,15.068,134.29,87.852,6.6917,NaN,7.58,90.2,939.86,562.04,5.237,-1.15
0,17.007,82.577,62.186,4.5635,NaN,7.279,96.3,982.99,557.29,3.29,-1.2659
