NET SW,NET LW,EH,EE,melt [cm ice eq. day],hourly albedo,TEMP,RH,Pressure Air,Pressure Surface,Wind Speed,Ts
37.34,-17.443,114.88,32.493,4.7186,0.44343,3.731,83,662.32,586.41,9.64,-0.56927
225.9,-28.88,122.94,58.593,10.679,0.37058,3.809,89.4,717.32,589.07,10.29,-0.50704
401.2,-37.077,133.45,21.287,14.637,0.36338,4.254,76.96,637.11,589.97,10.17,-0.48631
513.5,-8.6737,106.77,10.352,17.545,0.37682,5.165,72.5,639.61,607.99,7.372,-0.072614
456.8,6.2908,92.91,13.962,16.078,0.39457,5.287,74.62,663.93,615.31,6.468,0.092338
331.9,10.008,136.63,102.32,16.386,0.40101,5.277,96.4,857.12,615.31,9.53,0.092338
236.1,5.2423,149.59,104.32,13.971,0.40827,4.781,95.3,818.56,607.08,11.11,-0.093254
260.6,6.8627,120.63,27.611,11.727,0.40502,3.592,82.1,648.76,590.86,10.74,-0.46558
256.4,-6.5767,98.255,6.4942,10.002,0.39953,2.817,79.72,596.37,581.99,10.17,-0.67308
228.6,-6.8627,86.05,15.002,9.1058,0.40546,2.398,84.3,612.14,577.59,9.78,-0.77701
261.6,-16.966,75.523,10.262,9.321,0.40801,1.914,84.6,593.48,568.86,9.39,-0.98524
148.1,-19.063,80.764,-0.32727,5.9092,0.42552,1.613,82,562.99,563.67,10.69,-1.1104
84.93,-13.916,67.405,4.0521,4.0191,0.42654,1.373,84.1,567.55,557.67,9.23,-1.2566
