NET SW,NET LW,EH,EE,melt [cm ice eq. day],hourly albedo,TEMP,RH,Pressure Air,Pressure Surface,Wind Speed,Ts
0,-86.679,41.231,-28.193,-2.0774,NaN,1.659,18.36,126.47,367.08,2.639,-6.8287
10.96,-85.797,41.44,-29.038,-1.7613,0.49563,0.618,22.75,145.41,364.51,2.985,-6.9203
394.7,-97.367,40.226,-65.33,7.6795,0.31736,3.41,16.59,129.42,515.62,3.81,-2.3211
590.5,-101.19,18.496,-43.472,13.099,0.27314,3.895,17.85,144.09,584.33,2.224,-0.61791
766,-96.975,23.687,-60.573,17.832,0.23932,4.564,14.58,123.35,610.23,2.802,-0.02184
891.7,-91.288,28.264,-65.239,21.536,0.22863,4.604,18.6,157.8,607.42,3.268,-0.085519
956.5,-85.895,22.874,-37.135,24.157,0.21791,5.924,30.44,283.07,639.88,2.344,0.63358
974.5,-78.835,27.937,-54.329,24.522,0.21157,4.3,37.52,311.61,628.28,3.864,0.38043
958.7,-70.304,20.058,-34.747,24.647,0.21224,5.868,33.53,310.6,658.57,2.249,1.033
925.3,-59.911,23.266,-31.981,24.166,0.2185,5.579,41.53,377.08,648.68,2.652,0.82298
332.1,-40.006,16.013,-23.065,8.041,0.24143,4.502,46.36,390.51,632.13,2.15,0.46489
126.85,-31.573,13.919,-12.672,2.7229,0.25688,4.175,52.31,430.65,599.03,1.695,-0.27682
64.06,-54.91,19.232,-11.468,0.47714,0.29294,3.116,63.43,484.66,579.79,2.715,-0.72477
32.45,-70.697,15.278,-5.704,-0.80883,0.3587,2.832,65.32,489.16,553.98,1.982,-1.347
0,-77.364,20.88,-4.2522,-1.7134,NaN,1.799,70.56,490.93,523.97,2.899,-2.1037
0,-86.679,7.8408,-1.4877,-2.266,NaN,2.002,64.29,453.84,492.76,0.861,-2.9326
0,-87.954,17.475,-0.94129,-2.0147,NaN,-0.419,77.65,460.36,467.56,2.943,-3.6365
0,-90.699,14.968,-6.0868,-2.3081,NaN,0.416,55.31,348.4,433.76,1.606,-4.6358
0,-90.601,31.351,-23.588,-2.3368,NaN,2.571,26.25,192.97,425.78,2.282,-4.8818
0,-93.837,46.336,-43.663,-2.5717,NaN,2.935,15.71,118.51,425.06,3.208,-4.9042
0,-84.62,36.232,-28.834,-2.1784,NaN,1.551,30.16,206.15,422.19,3.006,-4.9938
0,-86.189,42.328,-26.478,-1.9842,NaN,0.922,37.39,244.28,408.75,3.626,-5.4209
0,-89.327,41.272,-33.991,-2.3145,NaN,0.701,27.2,174.9,396.99,3.447,-5.8047
0,-89.719,29.436,-23.138,-2.3533,NaN,0.457,22.73,143.6,373.58,2.266,-6.6001
0.642,-89.033,28.853,-16.44,-2.1433,0.91275,-0.563,33.91,198.94,356.23,2.354,-7.2186
10.81,-92.661,16.49,-10.588,-2.1425,0.55896,0.719,23.84,153.49,360.67,1.151,-7.0579
395,-102.56,35.72,-58.522,7.6063,0.30002,3.303,15.71,121.64,511.48,3.381,-2.43
593.5,-104.62,14.36,-37.015,13.152,0.25477,3.528,17.88,140.65,584.33,1.879,-0.61791
769.9,-94.818,28.538,-63.55,18.056,0.22701,4.32,24.06,200.1,607.42,3.514,-0.085519
913.5,-89.229,26.68,-59.862,22.316,0.21318,4.563,23.35,197.53,614.94,3.23,0.084192
979.8,-78.933,23.197,-47.089,24.739,0.20664,4.358,34.13,284.61,625.41,3.112,0.31703
1005.8,-82.855,20.148,-47.867,25.253,0.20295,4.723,26.19,224.04,636,2.617,0.54927
962.5,-74.226,20.966,-34.427,24.678,0.20847,5.173,37.95,334.99,641.83,2.527,0.6757
887.2,-69.324,31.659,-45.933,22.669,0.21556,4.974,43.44,378.17,639.88,3.953,0.63358
