NET SW,NET LW,EH,EE,melt [cm ice eq. day],hourly albedo,TEMP,RH,Wind Speed
0,-59.162,5.5751,-0.88854,-1.5367,NaN,9.4125,45.047,2.2195
0,-54.387,49.533,-3.0364,-0.22261,NaN,9.6975,48.188,3.7487
0,-52.802,51.664,8.9894,0.22147,NaN,8.79,61.182,3.9053
3.75,-57.995,40.609,17.269,0.10249,0.51613,8.1732,73.308,3.5377
41,-50.46,41.455,10.56,1.2005,0.55914,8.3375,65.96,3.5575
133.5,-18.407,34.689,4.8317,4.3616,0.54669,9.085,58.763,3.2683
315.5,55.7,34.155,0.018256,11.435,0.52946,9.74,50.688,3.239
391.5,93.45,34.847,-2.1609,14.602,0.51978,10.102,46.76,3.2585
444.75,123.42,25.788,0.74426,16.776,0.51736,10.972,47.945,2.994
475.25,139.17,21.266,2.7906,18.011,0.52007,11.035,52.31,2.8615
469,141.48,41.105,7.7392,18.599,0.5317,10.375,56.79,3.4497
429,144.48,31.279,7.2722,17.265,0.54925,10.055,59.672,3.1458
366.25,128.25,27.179,7.5216,14.929,0.56823,10.69,59.758,3.0282
280.5,92.5,30.156,11.053,11.685,0.59289,10.612,63.93,3.1165
182.25,46.125,21.996,8.0189,7.2891,0.63051,10.283,64.755,2.8567
83.75,0.23,11.634,3.6995,2.8016,0.69928,12.175,57.578,2.6263
14,-21.785,0,0,-0.2196,0.85106,12.617,57.265,2.0775
0.25,-34.862,0,0,-0.97641,0.9375,13.232,55.655,2.1022
0,-36.95,18.957,4.4427,-0.38225,NaN,13.283,50.907,2.8957
0,-38.09,25.295,4.2309,-0.2416,NaN,13.353,47.63,3.0625
0,-39.243,38.968,3.6041,0.093917,NaN,13.242,44.455,3.3958
0,-45.793,63.191,-0.94813,0.46407,NaN,13.095,39.88,3.9838
0,-50.362,60.973,-6.1385,0.12616,NaN,12.427,37.782,3.9495
0,-55.31,102.67,-12.885,0.97264,NaN,12.387,36.763,5.0617
0,-57.915,112.59,-9.4474,1.2759,NaN,12.077,39.558,5.39
0,-58.775,72.545,-0.78428,0.36631,NaN,11.527,44.49,4.3167
0,-55.727,41.212,4.7324,-0.27598,NaN,10.547,53.047,3.4497
7.75,-51.16,43.12,7.8692,0.21381,0.62651,10.322,56.695,3.5133
84,-37.982,43.46,7.4321,2.7338,0.5508,10.75,54.915,3.5133
189,6.4,54.827,14.25,7.4608,0.53902,12.16,54.972,3.7975
294.5,59.275,65.403,19.392,12.372,0.52691,11.5,58.395,4.1158
384.5,100.07,82.746,24.508,16.695,0.51907,10.78,60.362,4.7088
447,134.33,70.759,17.774,18.896,0.51897,11.165,57.285,4.2973
478.5,146.25,76.336,16.847,20.253,0.52329,12.34,52.708,4.3563
469,160.15,106.68,26.625,21.509,0.53713,13.533,50.99,5.0225
427.25,168.65,40.962,9.0089,18.22,0.55564,13.895,48.727,3.4543
364.25,145.82,0.044987,0.0077162,14.391,0.57335,14.138,45.89,2.2248
279.75,103.62,5.1323,1.0228,10.989,0.59719,13.565,48.58,2.494
180.75,54.45,15.161,2.868,7.1435,0.63429,14.587,45.643,2.8617
83,7.8575,0.4394,0.10478,2.5784,0.70063,14.445,48.275,2.3077
15,-14.511,0,0,0.013809,0.83696,15.415,46.885,1.6952
0.5,-24.708,0,0,-0.68289,0.85714,14.562,50.232,2.0285
0,-25.71,7.6353,2.1474,-0.44931,NaN,12.865,54.123,2.5383
0,-25.54,31.249,9.6924,0.43446,NaN,12.047,57.555,3.1753
0,-27.562,38.088,12.731,0.65605,NaN,12.398,57.745,3.3613
0,-28.412,44.695,13.672,0.84502,NaN,13.062,54.76,3.533
0,-29.887,49.672,10.245,0.84713,NaN,10.725,56.545,3.6993
0,-28.15,116.51,26.368,3.2365,NaN,12.235,53.242,5.473
0,-29.115,123.46,26.083,3.3973,NaN,13.24,49.947,5.4882
0,-30.74,141.89,34.731,4.1153,NaN,13.88,49.917,5.8505
0,-32.898,128.6,34.601,3.676,NaN,13.085,53.005,5.6498
6,-30.902,120.83,30.2,3.5579,0.63077,12.625,53.3,5.5223
79,-22.492,103.23,22.869,5.1511,0.55114,12.718,51.758,5.032
182.25,15.2,99.803,24.818,9.0855,0.54122,15.825,45.623,4.6895
287.5,53.925,87.051,15.939,12.537,0.52791,14.318,45.998,4.4935
376.5,88.175,81.454,11.107,15.719,0.52069,14.697,42.922,4.3513
438.25,117.12,56.342,7.4314,17.466,0.52051,15.44,41.017,3.8075
471,122.12,60.593,14.871,18.861,0.52412,15.188,46.888,3.8955
463.25,125.23,52.528,28.704,18.892,0.53675,14.96,61.457,3.7243
427,134.58,43.241,26.683,17.814,0.55159,14.61,65.542,3.5185
370.25,120.57,60.27,33.77,16.499,0.56543,13.725,64.932,3.9002
291.75,72.6,100.56,62.403,14.875,0.58262,11,74.175,5.233
195.75,20.125,99.496,63.18,10.679,0.61141,10.143,76.888,5.3902
96.75,-28.072,100.23,11.731,5.0959,0.66406,12.438,47.71,4.9883
21.75,-55.002,98.791,37.672,2.9115,0.77692,10.675,64.413,5.243
