SWIN,SWOUT,SWNET,LWNET,EH,EE,melt [cm ice eq. day]
0,0,0,-38.791,56.683,39.142,1.6089
0,0,0,-39.137,55.273,44.239,1.7032
0,0,0,-40.891,50.479,45.809,1.5627
0,0,0,-41.079,49.688,46.15,1.5447
0,0,0,-42.47,49.945,46.461,1.5215
0,0,0,-10.605,50.407,47.032,2.4496
0.5,-0.285,0.215,-14.045,37.939,34.489,1.653
71,-40.47,30.53,-24.218,37.477,33.754,2.1875
277.5,-158.17,119.33,-38.948,52.412,45.714,5.0355
452.25,-257.78,194.47,-47.99,56.561,45.674,7.0161
610,-347.7,262.3,-56.59,50.849,38.181,8.3145
727.25,-414.53,312.72,-62.402,60.082,44.494,10.011
670,-381.9,288.1,-59.409,63.845,48.635,9.6243
659,-375.63,283.37,-63.192,66.621,53.036,9.5866
507,-288.99,218.01,-59.269,76.685,63.306,8.4271
397.5,-226.57,170.93,-66.097,73.965,56.292,6.6317
210.75,-120.13,90.623,-70.461,50.305,40.292,3.1245
98.25,-56.002,42.248,-42.359,40.126,34.214,2.094
29.25,-16.672,12.578,-43.567,35.379,29.617,0.95934
1.25,-0.7125,0.5375,-43.984,27.099,21.947,0.15795
0,0,0,-43.84,24.644,19.025,-0.0048303
0,0,0,-44.929,6.1825,4.4219,-0.96829
0,0,0,-38.162,28.832,-30.223,-1.1158
0,0,0,-30.3,43.866,-57.904,-1.2508
0,0,0,-25.128,40.52,-50.759,-0.9977
0,0,0,-32.351,22.065,-30.048,-1.1378
0,0,0,-36.948,31.681,-56.354,-1.7383
0,0,0,-39.286,37.157,-71.884,-2.0879
0,0,0,-35.925,43.317,-68.91,-1.7354
0,0,0,-9.7724,30.182,-33.144,-0.35924
0.75,-0.4275,0.3225,-11.118,27.741,-27.593,-0.30037
118.25,-67.403,50.848,-31.047,22.577,-11.614,0.86781
342.5,-195.22,147.28,-49.35,19.114,1.5386,3.345
555.25,-316.49,238.76,-60.113,18.658,3.2484,5.6575
727,-414.39,312.61,-67.194,21.48,4.041,7.643
844,-481.08,362.92,-71.759,28.561,1.5277,9.0623
899.5,-512.72,386.79,-66.295,39.548,-2.1704,10.095
887,-505.59,381.41,-62.612,47.361,-9.9791,10.048
809,-461.13,347.87,-59.885,63.107,-6.7409,9.714
672.75,-383.47,289.28,-58.898,60.661,-6.2613,8.0337
488.25,-278.3,209.95,-54.694,83.345,-33.923,5.7738
273.75,-156.04,117.71,-16.613,91.732,-55.525,3.8734
81.25,-46.312,34.938,-16.996,109.55,-81.773,1.2898
1.5,-0.855,0.645,-17.226,90.971,-73.514,0.0247
0,0,0,-14.375,98.625,-72.819,0.32246
0,0,0,-12.944,118.71,-78.68,0.76399
0,0,0,-15.79,104.83,-75.473,0.38274
0,0,0,NaN,NaN,NaN,NaN
0,0,0,NaN,NaN,NaN,NaN
